"alert__week","alert__year","alert__count","confidence__cat"
17,2018,1920,"n"
17,2018,134,"l"
17,2018,52,"h"
16,2018,2177,"n"
16,2018,38,"h"
16,2018,104,"l"
15,2018,1518,"n"
15,2018,17,"h"
15,2018,103,"l"
14,2018,74,"l"
14,2018,30,"h"
14,2018,1482,"n"
13,2018,79,"l"
13,2018,1765,"n"
13,2018,37,"h"
12,2018,30,"h"
12,2018,66,"l"
12,2018,1544,"n"
11,2018,27,"h"
11,2018,1925,"n"
11,2018,132,"l"
10,2018,1891,"n"
10,2018,88,"l"
10,2018,23,"h"
9,2018,1763,"n"
9,2018,23,"h"
9,2018,70,"l"
8,2018,35,"h"
8,2018,16,"l"
8,2018,1371,"n"
7,2018,8,"l"
7,2018,26,"h"
7,2018,1236,"n"
6,2018,8,"h"
6,2018,1103,"n"
6,2018,8,"l"
5,2018,9,"h"
5,2018,880,"n"
5,2018,1,"l"
4,2018,18,"l"
4,2018,48,"h"
4,2018,1856,"n"
3,2018,1551,"n"
3,2018,37,"h"
3,2018,12,"l"
2,2018,1421,"n"
2,2018,12,"h"
2,2018,4,"l"
1,2018,11,"l"
1,2018,42,"h"
1,2018,2125,"n"
52,2017,13,"h"
52,2017,1627,"n"
52,2017,4,"l"
51,2017,756,"n"
51,2017,7,"h"
50,2017,6,"l"
50,2017,1436,"n"
50,2017,26,"h"
49,2017,7,"l"
49,2017,1493,"n"
49,2017,33,"h"
48,2017,1395,"n"
48,2017,2,"l"
48,2017,9,"h"
47,2017,8,"l"
47,2017,1517,"n"
47,2017,33,"h"
46,2017,15,"l"
46,2017,51,"h"
46,2017,1865,"n"
45,2017,24,"l"
45,2017,1659,"n"
45,2017,36,"h"
44,2017,72,"l"
44,2017,55,"h"
44,2017,2540,"n"
43,2017,2453,"n"
43,2017,44,"l"
43,2017,45,"h"
42,2017,2373,"n"
42,2017,59,"l"
42,2017,44,"h"
41,2017,128,"l"
41,2017,50,"h"
41,2017,2486,"n"
40,2017,67,"l"
40,2017,2000,"n"
40,2017,42,"h"
39,2017,178,"l"
39,2017,2027,"n"
39,2017,39,"h"
38,2017,1910,"n"
38,2017,197,"l"
38,2017,22,"h"
37,2017,2466,"n"
37,2017,93,"h"
37,2017,340,"l"
36,2017,32,"h"
36,2017,152,"l"
36,2017,1772,"n"
35,2017,56,"h"
35,2017,306,"l"
35,2017,1933,"n"
34,2017,335,"l"
34,2017,108,"h"
34,2017,2500,"n"
33,2017,222,"l"
33,2017,37,"h"
33,2017,1965,"n"
32,2017,2041,"n"
32,2017,312,"l"
32,2017,98,"h"
31,2017,929,"l"
31,2017,5702,"n"
31,2017,967,"h"
30,2017,377,"l"
30,2017,2712,"n"
30,2017,203,"h"
29,2017,2096,"n"
29,2017,245,"l"
29,2017,110,"h"
28,2017,442,"h"
28,2017,788,"l"
28,2017,3123,"n"
27,2017,317,"l"
27,2017,101,"h"
27,2017,2326,"n"
26,2017,232,"l"
26,2017,1823,"n"
26,2017,92,"h"
25,2017,176,"l"
25,2017,37,"h"
25,2017,1901,"n"
24,2017,1560,"n"
24,2017,52,"h"
24,2017,71,"l"
23,2017,166,"l"
23,2017,40,"h"
23,2017,1826,"n"
22,2017,67,"l"
22,2017,1307,"n"
22,2017,19,"h"
21,2017,1695,"n"
21,2017,152,"l"
21,2017,51,"h"
20,2017,110,"l"
20,2017,50,"h"
20,2017,1821,"n"
19,2017,1309,"n"
19,2017,25,"h"
19,2017,92,"l"
18,2017,39,"h"
18,2017,151,"l"
18,2017,1671,"n"
17,2017,126,"l"
17,2017,19,"h"
17,2017,1407,"n"
16,2017,57,"l"
16,2017,1348,"n"
16,2017,10,"h"
15,2017,120,"l"
