date,target
2021-06-04 10:02:03,385
2021-06-05 10:02:03,320
2021-06-06 10:02:03,277
2021-06-07 10:02:03,325
2021-06-08 10:02:03,364
2021-06-09 10:02:03,387
2021-06-10 10:02:03,321
2021-06-11 10:02:03,372
2021-06-12 10:02:03,343
2021-06-13 10:02:03,318
2021-06-14 10:02:03,354
2021-06-15 10:02:03,373
2021-06-16 10:02:03,343
2021-06-17 10:02:03,382
2021-06-18 10:02:03,379
2021-06-19 10:02:03,367
2021-06-20 10:02:03,235
2021-06-21 10:02:03,473
2021-06-22 10:02:03,385
2021-06-23 10:02:03,370
2021-06-24 10:02:03,354
2021-06-25 10:02:03,369
2021-06-26 10:02:03,341
2021-06-27 10:02:03,352
2021-06-28 10:02:03,375
2021-06-29 10:02:03,389
2021-06-30 10:02:03,397
2021-07-01 10:02:03,449
2021-07-02 10:02:03,475
2021-07-03 10:02:03,457
2021-07-04 10:02:03,464
2021-07-05 10:02:03,495
2021-07-06 10:02:03,481
2021-07-07 10:02:03,585
2021-07-08 10:02:03,620
2021-07-09 10:02:03,831
2021-07-10 10:02:03,813
2021-07-11 10:02:03,768
2021-07-12 10:02:03,878
2021-07-13 10:02:03,941
2021-07-14 10:02:03,914
2021-07-15 10:02:03,1109
2021-07-16 10:02:03,1197
2021-07-17 10:02:03,1107
2021-07-18 10:02:03,1099
2021-07-19 10:02:03,1177
2021-07-20 10:02:03,1298
2021-07-21 10:02:03,1221
2021-07-22 10:02:03,1208
2021-07-23 10:02:03,1350
2021-07-24 10:02:03,1305
2021-07-25 10:02:03,1287
2021-07-26 10:02:03,1505
2021-07-27 10:02:03,1544
2021-07-28 10:02:03,1927
2021-07-29 10:02:03,1537
2021-07-30 10:02:03,1521
2021-07-31 10:02:03,1203
2021-08-01 10:02:03,1172
2021-08-02 10:02:03,1358
2021-08-03 10:02:03,1307
2021-08-04 10:02:03,1495
2021-08-05 10:02:03,1289
2021-08-06 10:02:03,1203
2021-08-07 10:02:03,1140
2021-08-08 10:02:03,1020
2021-08-09 10:02:03,992
2021-08-10 10:02:03,979
2021-08-11 10:02:03,844
2021-08-12 10:02:03,851
2021-08-13 10:02:03,860
2021-08-14 10:02:03,753
2021-08-15 10:02:03,603
2021-08-16 10:02:03,710
2021-08-17 10:02:03,695
2021-08-18 10:02:03,721
2021-08-19 10:02:03,694
2021-08-20 10:02:03,578
2021-08-21 10:02:03,515
2021-08-22 10:02:03,412
2021-08-23 10:02:03,506
2021-08-24 10:02:03,537
2021-08-25 10:02:03,545
2021-08-26 10:02:03,503
2021-08-27 10:02:03,512
2021-08-28 10:02:03,485
2021-08-29 10:02:03,491
2021-08-30 10:02:03,412
